34.55 28.26 20.65 34.68 28.29 29.29 5.17
28.01 29.93 31.25 28.26 29.90 29.47 1.20
0.27 0.27 0.33 0.31 0.38 0.31 0.04
0.34 0.32 0.32 0.31 0.30 0.32 0.01
